record_id,Count (classes),Count (horses),trainer,trainers,source,horse,horses,Count (entries),rider_display,rec_id,entries,rider,entry_go_times,wec-alerts,class_oog,class_oog copy,class_results,cwf
rec8mAGBiGYk3HpkV,0,1,Samuel Parot,"[""recnutMCbWmttrhyI""]",class_oog,Buga Z,"[""recIfem3TXVWXAB2k""]",1,Dolores,rec8mAGBiGYk3HpkV,"[""recyKbRMCGmfGewAV""]",Dolores Funes,,,,,,
rec8mL4WnVntpQaTA,0,1,Kathryn Delaney,"[""recpwhIril531ls02""]",class_oog,Kennedy,"[""recJVg3nk3gtSYaoh""]",1,Izabella,rec8mL4WnVntpQaTA,"[""rec1jsiwNJbaqTry3""]",Izabella Zourdos,,,,,,
rec8pjhUK2dw0I7FB,0,1,Stephanie Free,"[""recBVRfeR9i4COiwE""]",class_oog,Carolina Bay,"[""recsJ5fy4cS6erdA0""]",0,Lily,rec8pjhUK2dw0I7FB,,Lily Gloriod,,,,,,
rec90AY2oQyQzzoUN,0,1,Carly Tredinnick,"[""recjGahspjyOKdkyr""]",class_oog,Dublin,"[""recirHuE46MLWzQc5""]",1,Amelia,rec90AY2oQyQzzoUN,"[""reccJGzhx3OasZ6fm""]",Amelia Tredinnick,,,,,,
rec91JoLPmojny7Ah,0,1,Stephanie Frey,"[""recGQXJ8M2eFcl9W7""]",class_oog.php,As You Are,"[""recL78zo5CXGrUV0s""]",1,Miro,rec91JoLPmojny7Ah,"[""recoVpUg1DgaXBKqa""]",Miro Frey,,,,,,
rec974lTBQb8pAelY,0,1,Leah Lang-Gluscic,"[""recpHh1PShXkwhM2V""]",class_oog,Dimazzo,"[""recZkCFReFrLUJo2s""]",1,Leah,rec974lTBQb8pAelY,"[""recZjVJhvDeW8E4h6""]",Leah Lang-Gluscic,,,,,,
rec9AOBY6djC53osc,0,2,Jessica Collins,"[""recNpo5pbhuzTKAIi""]",class_oog,Quite Clever,"[""recVvr3i3orCifh5H"",""recCpjFhbOsTOGJUB""]",3,Jessica,rec9AOBY6djC53osc,"[""recIQVgKeN2LNZnrj"",""rech6wXoI6X3xY90b"",""recMemx832jy1SfEr""]",Jessica Collins,,,,,,
rec9ElUH8g5rla1mh,0,1,Natalie Geller,"[""recz8qWzDP2cl0zXp""]",class_oog,Mtm Nutmeg,"[""recRohJrA6QjFRROT""]",1,Rachel,rec9ElUH8g5rla1mh,"[""recul7YU3h0jBRd89""]",Rachel Zaluski,,,,,,
rec9QNDx2IegGtFnl,0,2,Elizabeth C. de Golian,"[""recVpkQDmdDLWOnf7""]",class_oog,Red Admiral,"[""rec4s0Mzjefu6r5cl"",""recreUf0EnmZ0w8XW""]",2,Elizabeth,rec9QNDx2IegGtFnl,"[""recdonopJ0WtIypgP"",""recutOuRfDtmGYnr5""]",Elizabeth C. de Golian,,,,,,
rec9WGfroIzNJgxYO,0,1,Kirk Webby,"[""recAQw955LG6uVCeK""]",class_oog.php,Cameron 38,"[""recsNgxhTd41Ps8ZF""]",0,Jamie,rec9WGfroIzNJgxYO,,Jamie M. Stryker,,,,,,
rec9bdGQgGu9zWiEQ,0,3,Captain Brian Cournane,"[""recclCEkrFrjDDv36""]",class_oog,Castlefield Dream,"[""recsKkiNg0lfLi4MY"",""recGM6SqPGsYdfkoo"",""recpufs1guD9CqDb5""]",5,Captain,rec9bdGQgGu9zWiEQ,"[""recvKAArSusorh5to"",""recQCUi9gMth3vZD2"",""recO6KU4WirqGei7w"",""rec0nIlVrJ81KpK5w"",""recCujvGOmv06gqb6""]",Captain Brian Cournane,,,,,,
rec9bvr48FkMESsHg,0,4,Bobby Boulger,"[""recWQdJafSZQqtOiB""]",class_oog,Dominator Touch Z,"[""recxIlsrbOjPhhb8a"",""rec6X8TFkV3MzY8Lj"",""recdCFjm5K74Cf8ym"",""recuGRN6MHnNAfPkm""]",4,Kalli,rec9bvr48FkMESsHg,"[""recmwSV8aoUmWPYJS"",""recpGXFL5Gw43iH4m"",""recUxyV5yb4LFF1EB"",""recCnnePf7K82RFVC""]",Kalli Core,,,,,,
rec9fIR10f73qL1si,0,2,Kimberly S. Maloomian,"[""recqHUJJahci2rF3E""]",class_oog,Only Always,"[""rec6NgqkkCNTmrbDA"",""recw3ZOiSLcHgxMgs""]",2,Kimberly,rec9fIR10f73qL1si,"[""recFtnmzhTDGlhFbC"",""rec53XSizG64Ut8fX""]",Kimberly S. Maloomian,,,,,,
rec9hDnDABk2Jn63Z,0,1,Antonio J. Martinez,"[""recoIakTck18pHikM""]",class_oog,Valdes,"[""recDqLWLTELHxRM9X""]",0,Athena,rec9hDnDABk2Jn63Z,,Athena Lekkas,,,,,,
rec9sgXQpjPkE204z,0,1,Matt Martin,"[""recRnYU8EgCMCN4Tl""]",class_oog,All In,"[""rech2gyew6YKsl923""]",0,Matt,rec9sgXQpjPkE204z,,Matt Martin,,,,,,
rec9wGvChkIEYr9ra,0,2,Dennis Mitchell,"[""recoecRalvylo1ERb""]",class_oog,Granslam De Lezellec,"[""rec4VDspCpJERBJl8"",""recBIM9PfT6bsg41D""]",2,Lilly,rec9wGvChkIEYr9ra,"[""recARRtM6on1LSMRP"",""recF4cj2RXKDMSliP""]",Lilly Mack,,,,,,
rec9xdU3MJtpDiRxC,0,1,Amanda Flint,"[""rec3UdGAtomDxEozr""]",class_oog,Santana,"[""recXmjfTXve9sBDbF""]",1,Elli,rec9xdU3MJtpDiRxC,"[""recBEFytHdCyQqvMe""]",Elli Yeager,,,,,,
recAATtzYsIZzhjnb,0,1,Samantha Mccleerey,"[""recNt8RCU3OfCIZg6""]",class_oog,Chaning Tatum,"[""reckANjuzr2lIgoX7""]",1,Samantha,recAATtzYsIZzhjnb,"[""recygGog8FLxrMnVH""]",Samantha Mccleerey,,,,,,
recAAhXIBGzsVMAOV,0,2,Alexa Marino Bacardi,"[""recQS2r3hlg93GR1c""]",class_oog,India-S,"[""recRRhyftSM5LqC1m"",""recUPzuPwcRwcXprF""]",2,Lola,recAAhXIBGzsVMAOV,"[""recEwOsVOO6ZyT8A3"",""recsDtJjqiuoQmPaf""]",Lola Bacardi,,,,,,
recAIlcnxeRCGBqqF,0,1,Wendy J. Hechler,"[""rec1I0IvFKaYQa6K4""]",class_oog,Eye Of The Tiger,"[""recRWZd7OyBnuwzol""]",1,Lillian,recAIlcnxeRCGBqqF,"[""rectFtbsLs4W8L2Ip""]",Lillian Hardman,,,,,,
