record_id,entry_no,rec_id,Created,horse,trainer,horse_display (from horses),horses,source,rider,riders,rider_display (from riders),trainers,trainer_display (from trainers),barn_name,entry_go_times,wec-alerts,class_oog,class_oog_staging,get_orders,get_rings,class_results,get_rings 2,get_orders 2,wec_entry_comments,wec_class_comments,wec_comment_presets,wec_question_templates,wec_sessions,wec_comments,wec_ring_checkins,waze_users,wec_observations,wec_ring_comments
rec1RAmQjCfnJ2wyW,2827,rec1RAmQjCfnJ2wyW,2026-06-10T15:10:41.000Z,Lord Carlino,August Torsilieri,[null],"[""recgceKiO39pf6cFr""]",class_oog.php,Alexandra Hird,"[""recrvwnO1g9OSNswQ""]","[""Alexandra""]","[""recel7Tui1CFiT95R""]",,,,,,,,,,,,,,,,,,,,,
rec1SQ2DHhXNH2sz5,2231,rec1SQ2DHhXNH2sz5,2026-06-21T13:06:53.000Z,Rise Above,,[null],"[""recOT7AWtwgnsBSJ1""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec1SyutrvSIrq6RP,1033,rec1SyutrvSIrq6RP,2026-06-21T16:48:56.000Z,Bellingham,,[null],"[""recoGZtodiUGxfcy8""]",get_rings.php,,,,,,,,,,,,"[""rec3oDy2JzNk801Bu""]",,,,,,,,,,,,,
rec1VD4ZNQ8xxCGWk,1006,rec1VD4ZNQ8xxCGWk,2026-06-12T17:24:26.000Z,Thompson Ter Doorn Z,Juan Benítez,[null],"[""recXJdhBfCSjXKcrL""]",class_oog,Maria Pantaliao,"[""reccdMY4DqXa2MtUK""]","[""Maria""]","[""reccVab1jS62QQ5la""]",,,,,,,,,,,,,,,,,,,,,
rec1VxuMYNOcb6XCM,3161,rec1VxuMYNOcb6XCM,2026-06-18T15:33:38.000Z,Dance Partner,,[null],"[""rec3hqw5ObXvJPh8e""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec1Zg7zQ1vGAkztx,3028,rec1Zg7zQ1vGAkztx,2026-06-20T13:30:37.000Z,Kingpin,,[null],"[""recE4RjCd7HzItzyB""]",get_rings.php,,,,,,,,,,,"[""recMv8z49YrnKYAnQ""]","[""recRRU0BjSMSstKcP""]",,,,,,,,,,,,,
rec1b3XnJ0xwpUVVO,1063,rec1b3XnJ0xwpUVVO,2026-06-12T17:24:27.000Z,La Fe Frontera,Daniela Roy,[null],"[""recGIs38pm2C2QgQ5""]",class_oog,Cat Zampieri,"[""recoNEIuUpTxc4I4q""]","[""Cat""]","[""rec2F4zRJZGDzG0M2""]",,,,,,,,,,,,,,,,,,,,,
rec1dChOEHy9TphqB,173,rec1dChOEHy9TphqB,2026-06-15T13:18:53.000Z,Joint De Canabis Van De Doornhoeve,Alberto Michan,[null],"[""recQ8PBDqcbb6Psk9""]",class_oog,Alberto Michan,"[""recJ5QtdFwwSvt6f5""]","[""Alberto""]","[""recOPpcKG9qWpofRT""]",,,,,,,,,,,,,,,,,,,,,
rec1e77tZXkuTZTKx,1525,rec1e77tZXkuTZTKx,2026-06-11T11:39:22.000Z,Checkmate,Jake Evans,[null],"[""recJX8hecWzDKLwX6""]",class_oog,Gabriella Savettiere,"[""recW2UNuebpQOcSsH""]","[""Gabriella""]","[""recSXiCPwDmQ76cuQ""]",,,,,,,,,,,,,,,,,,,,,
rec1eLaySOTVGfZvf,1882,rec1eLaySOTVGfZvf,2026-06-09T23:09:50.000Z,Kara J D'alve Z,Thea N. Stinnett,[null],"[""recochZJJAeI8sJWl""]",class_oog.php,Alexandria Beneson,"[""recNirM4RHUlZhnbx""]","[""Alexandria""]","[""recfWYHJT3O9VG1TG""]",,,,,,,,,,,,,,,,,,,,,
