record_id,Count (entries),Count (riders),trainer,Count (horses),Count (class_oog),horses,entries,rec_id,source,riders,wec-alerts,entry_go_times,trainer_display,class_results,active_entries 2,tag,active,class_oog,class_oog copy,classes,active_entries
rec6npIsj2ldcOqWZ,5,7,Katie Rudnick,6,0,"[""recTChszlN7lVqyT3"",""recQhCOFvwzFZ0ish"",""recXxxSduyhYIdVk7"",""recbYAzMttzLLuZdX"",""recjZSTlQIM8twWC7"",""recApexUFy6SutJMS""]","[""recp4Js48OsSdHJ1k"",""recEiVFckiGl6vosq"",""rec5W8zVBAHOmlvOQ"",""reckGdtQLqOYR3OWT"",""recmzPISUiG35CDv2""]",rec6npIsj2ldcOqWZ,class_oog,"[""reciBZ8QpFwqIA4Ew"",""rec1rRr9PfJ44u4mU"",""recJsWnYNSlIgIepG"",""recumIAMi7sP2aloJ"",""recFMGCfWZVJcHYe7"",""rec0x9rLbWUGqvGPz"",""recPYRCEIs5ZuvAm6""]",,,,,,,,,,,
rec6szCleq8yE3JIq,5,1,Traci A. Weston,5,0,"[""reca5o7UX35J1yh7a"",""rec8CE9tachZAQASt"",""recjy8Rsai0b6rh1D"",""recKrZPlpWjBkk4xk"",""recofiVV7xeLAUHgS""]","[""recLT7QRZdjY1XWGU"",""recnjpJmwjKOEdE4N"",""recKBQJJB72VmxEj9"",""recHZbJYccRY2KuMe"",""rec41PNz3aD0mIrBn""]",rec6szCleq8yE3JIq,class_oog,"[""recAgHM50DSJcxYoF""]",,,,,,,,,,,
rec7DXITsIiRKUwVT,2,0,Hanna Pieri,1,0,"[""recEKwpfkg93Z4H5R""]","[""reci2dsUGmNKNrxEV"",""recSpoDIMbZJaCFQg""]",rec7DXITsIiRKUwVT,class_oog,,,,,,,,,,,,
rec7ppaIMqZuirHoA,11,5,Isaac Leffkowitz,11,0,"[""rec3tOlCzuqzu8xpK"",""recSpYWN65VvNIf4n"",""recydrjm8EMegldSp"",""recJq5Qel4UwuM65W"",""rec5ilpr2s7Hlj44B"",""recAhS04AxFaq6eTd"",""rech1HNqhAB9ph3s6"",""rec9xWBf0WO0Y8iw0"",""recRfkenRgYpuF8fS"",""recrMq9Lypfzx04aw"",""rectnWr9scFwpHkvJ""]","[""recpP4j7nPlQwSf15"",""rec9rHx6aDDm4lD8r"",""recbBuCGoa2DVvxQE"",""rec3Z99UEZL8sSNY7"",""rec5WQl0Uwyt03T0k"",""recmbLe9gjwLn55mt"",""recU702x9XlGPM9j0"",""recSAF0IdEdEUFC1d"",""recSEYXiZxQFGbHXq"",""recHty4PZ51DfdrOL"",""recIsgyCC9k8b5fCm""]",rec7ppaIMqZuirHoA,class_oog,"[""rec5eeBOUY791C5bu"",""rec6PfdUq1V5Pn86W"",""recIvgr2ouqPr2MO5"",""rec2kwFzPKreJnevI"",""recEcvnOYgFTFKxaR""]",,,,,,,,,,,
rec7yDpRrnFHdpEyR,6,3,Taylor St Jacques,6,0,"[""recDJymEDEhi1CpfZ"",""recBAfxAXTEQ2vfZ2"",""recRxZDoYeiHSkZG9"",""recBSllePMOSowevO"",""recLVfTqAUfqSa8cw"",""recz6zQwDRKkudHmo""]","[""recMVxMSrs3FRRYBF"",""recnQKa2UumXaPD1u"",""recgCHJBPI61TTWw5"",""recDwpje2NX8oFmje"",""recPmzZUk6IzAwcX0"",""recrI0ZFUd7suGMKJ""]",rec7yDpRrnFHdpEyR,class_oog,"[""recfFEe6i6PAEJnMn"",""recljNPWmSNvK6A9m"",""reciLpQETY1uEIqrJ""]",,,,,,,,,,,
rec8idqGtfg38fRMa,1,1,Gabriela Tirado,1,0,"[""recJbpiYaBN0FyfXQ""]","[""recIR6cOMBZe15Qoi""]",rec8idqGtfg38fRMa,class_oog,"[""recHewY5dcEfgwlof""]",,,,,,,,,,,
rec9BblNEY7tpcFkm,1,0,Derek Petersen,1,0,"[""recpS7olJ6AomYXNk""]","[""recgRutfSbyZDsyAC""]",rec9BblNEY7tpcFkm,class_oog,,,,,,,,,,,,
rec9hQVBgpLiTbKmW,3,1,Angela Swanson,3,0,"[""reciui6ReMWydzeSF"",""recMfywBbZte9vRS3"",""recQGYjpOfrvS5njR""]","[""rec4qUOGVJAGUZqnw"",""recIem3eXtuwqkBpL"",""reconx5lBicdfU2ys""]",rec9hQVBgpLiTbKmW,class_oog,"[""rec3nADl9IqqdRXd1""]",,,,,,,,,,,
rec9nE2B2j1bOmqTB,2,1,John Michael Durr,2,0,"[""reckTUVVY8E0JiyBv"",""recmHq7QdkA4XFks5""]","[""recwIYoYdZrRyZqp1"",""rec7vnyr2tVcM6JKv""]",rec9nE2B2j1bOmqTB,class_oog,"[""recb1rMqysX4FAaMx""]",,,,,,,,,,,
recAQw955LG6uVCeK,3,2,Kirk Webby,4,0,"[""recsNgxhTd41Ps8ZF"",""recxJb6VhttLUK5V9"",""reccztB3ED4aPj15l"",""recGnNupa4d13lGyT""]","[""recU0Bf1mF8h8yM7G"",""recIknyTzybO0tSwd"",""recxdKZ1k90OnH1tC""]",recAQw955LG6uVCeK,class_oog,"[""rec9WGfroIzNJgxYO"",""recj0huhTEnvjmgCe""]",,,,,,,,,,,
recARZMqQrFq9nlEp,1,3,Christine Davis,3,0,"[""recFcNzxzXWQQkMgX"",""reci37ggCOP56Iue7"",""recHEp9v9lEefLbmo""]","[""rec7F9hjLstqdYMOO""]",recARZMqQrFq9nlEp,class_oog,"[""recyd1akfUaUasyyP"",""rec3ZhfWzrr4zMAGX"",""recHX2ArcWkBK8opr""]",,,,,,,,,,,
recAxFIoUH9sfVhnS,4,2,Scott Keach,5,0,"[""recYCbgK9cpBTgQ21"",""recj1gvrUNRxVuaWC"",""rectI5xjpyudvz1GX"",""recgzUaQSWiYF5FDr"",""recr8YUWKb9KlTsWH""]","[""rec6uUStMesh3znm5"",""recSagAG8IFRylsx2"",""recuXLShazq7IOZKb"",""recZH5LJ6exgReT0B""]",recAxFIoUH9sfVhnS,class_oog,"[""recWgnylWhkmIDhco"",""recbFJhHS5IlTuTPc""]",,,,,,,,,,,
recBAzsT29cV74CnZ,11,8,Gianni Gabrielli,12,0,"[""rectKjJi3vbaPv5i1"",""recKSrRKaIkM2EvzH"",""recB7ZuvjdCfzUk9x"",""reckjV13gigbihqLO"",""rec4o1gsPCeD8j1G5"",""rec302NoK3OfRFOSR"",""recQbAxNwd3H4PQC8"",""rec1SE5SwPnnar75T"",""rec0FivSfh6MsyTIM"",""rec40MfXy8dtCqIYP"",""recqbcN7di8FZoXQb"",""recfoL7MUlqgZMTqp""]","[""recpy9qy1UpqoYGC2"",""recjbDppYrArFofn3"",""recov2ReRhLrvfSbg"",""recNVaEWSnFbWs024"",""recNx8OaYNInxl0xh"",""recuoqJOcF2si7HDS"",""recY5sI1UZ86CydL8"",""recbQlO6CvoZuDUWm"",""recbBkivjo9pQUAWb"",""recYzjtSeoo3iQJjz"",""recQvWDwga9UpZqB7""]",recBAzsT29cV74CnZ,class_oog,"[""recGZEOj52levwJ5z"",""recOkGkqEmmFznq4k"",""recS7xRIWP2pzZCg3"",""recbrgeNFLBoH10vu"",""rec3tPmVZKASH2PqQ"",""recruAjwKHbVtAngD"",""recKdlBZESMpynqTs"",""rectBTk6pw8bsCI9z""]",,,,,,,,,,,
