record_id,class_visual_key,ring_visual_key,class_start_time,focus_day,Created,class_name,status,class_no,class_start_key,last_synced_at,show_no,ring_name_normalized,ring_name,ring_no,ring_day_no,class_number,entry_count,display_time,live_source
recZ7Vk1fiTe0rW1B,indoor_2|26905,645|indoor_2,10:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Adult Equitation Flat,active,26905,indoor_2|26905,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,511,8,10:00 am,hs_update_schedule.step4_runtime_prep
recZHmQfHRHGPr4a4,indoor_2|26914,645|indoor_2,13:45:00,2026-07-03,2026-07-03T19:51:41.000Z,Low Adult Equitation Flat,active,26914,indoor_2|26914,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,520,4,1:45 pm,hs_update_schedule.step4_runtime_prep
recZMzVkbqCz0iLmv,indoor_1|26868,644|indoor_1,08:30:00,2026-07-03,2026-07-03T19:51:41.000Z,USHJA UF Vet Hunter Derby 3' Open,active,26868,indoor_1|26868,2026-07-03 20:06:20,14909,indoor 1,Indoor 1- Sarah Haas,644,3604,404,12,8:30 am,hs_update_schedule.step4_runtime_prep
recZgF5WeO6Afy5nZ,indoor_2|26898,645|indoor_2,12:15:00,2026-07-03,2026-07-03T19:51:41.000Z,Equitation 12-14 2'9,active,26898,indoor_2|26898,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,504,6,12:15 pm,hs_update_schedule.step4_runtime_prep
recb2JaNEStBJQzJM,indoor_6|26826,642|indoor_6,15:30:00,2026-07-03,2026-07-03T19:51:40.000Z,1.30m Jumper II.2b,active,26826,indoor_6|26826,2026-07-03 20:06:20,14909,indoor 6,Indoor 6 - Brandon Serpico,642,3592,644,15,3:30 pm,hs_update_schedule.step4_runtime_prep
recdehIvwKOObMkDG,indoor_4|26748,747|indoor_4,09:30:00,2026-07-03,2026-07-03T19:51:42.000Z,USHJA Hunter 2',active,26748,indoor_4|26748,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,257,10,9:30 am,hs_update_schedule.step4_runtime_prep
recgNQKbYoSeupK8r,indoor_4|26919,747|indoor_4,11:15:00,2026-07-03,2026-07-03T19:51:42.000Z,Children's Pony Equitation 2'6,active,26919,indoor_4|26919,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,525,2,11:15 am,hs_update_schedule.step4_runtime_prep
rechYsVshYm04E3Pw,indoor_2|26899,645|indoor_2,00:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Equitation 12-14 Flat,active,26899,indoor_2|26899,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,505,6,12:00 am,hs_update_schedule.step4_runtime_prep
recnC5xbupfAa70XG,indoor_2|26897,645|indoor_2,12:15:00,2026-07-03,2026-07-03T19:51:41.000Z,Equitation 12-14 2'9,active,26897,indoor_2|26897,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,503,6,12:15 pm,hs_update_schedule.step4_runtime_prep
recnrdP9kYqNegQw6,indoor_2|26913,645|indoor_2,13:00:00,2026-07-03,2026-07-03T19:51:41.000Z,Low Adult Equitation 2'6,active,26913,indoor_2|26913,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,519,5,1:00 pm,hs_update_schedule.step4_runtime_prep
recoSWx8IsMU7WjQY,indoor_1|26869,644|indoor_1,10:15:00,2026-07-03,2026-07-03T19:51:41.000Z,USHJA National Hunter Derby 3' Jr/Am,active,26869,indoor_1|26869,2026-07-03 20:06:20,14909,indoor 1,Indoor 1- Sarah Haas,644,3604,405,20,10:15 am,hs_update_schedule.step4_runtime_prep
recqUIUZt91ufQN7h,indoor_2|26910,645|indoor_2,14:00:00,2026-07-03,2026-07-03T19:51:42.000Z,Low Children's Equitation 2'6,active,26910,indoor_2|26910,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,516,13,2:00 pm,hs_update_schedule.step4_runtime_prep
recqxQl38aa7jIuBX,indoor_4|26917,747|indoor_4,00:15:00,2026-07-03,2026-07-03T19:51:42.000Z,Pony Equitation Flat,active,26917,indoor_4|26917,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,523,2,12:15 am,hs_update_schedule.step4_runtime_prep
