record_id,entry_count,source_payload,show_no,ring_no,oc_id,focus_day_key,show_focus_key,run_id,date_text,ring_day_no,iso_date,event_type,source_endpoint,class_name,live_flag,event_id,ring_name,heartbeat_id,update_schedule_key,class_no,Last Modified,event_name,focus_day,hs_heartbeat,class_number,time_text,class_payout,test,test_date
recQOje9C5p8UcMro,15,"{""event_id"":""59967"",""data_class"":""26834"",""data_name"":""601) $100 .65m Jumper Open IV.1"",""data_time"":""7:30 am"",""data_entries"":""15""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,1,update_schedule.php,.65m Jumper Open IV.1,false,59967,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26834,26834,2026-07-03T12:36:12.000Z,601) $100 .65m Jumper Open IV.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",601,7:30 am,$100,true,2026-07-03
recQsifTjW0loJYGI,4,"{""event_id"":""59811"",""data_class"":""26914"",""data_name"":""520) Low Adult Equitation Flat"",""data_time"":""1:45 pm"",""data_entries"":""4""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Low Adult Equitation Flat,false,59811,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26914,26914,2026-07-03T04:00:13.000Z,520) Low Adult Equitation Flat,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",520,1:45 pm,,,
recQzmgIPkNEroTII,2,"{""event_id"":""63433"",""data_class"":""26916"",""data_name"":""522) Pony Equitation 2'3"",""data_time"":""11:45 am"",""data_entries"":""2""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Pony Equitation 2'3,false,63433,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26916,26916,2026-07-03T16:36:17.000Z,522) Pony Equitation 2'3,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",522,11:45 am,,true,
recRnZYLq7MowAqED,16,"{""event_id"":""59978"",""data_class"":""26809"",""data_name"":""740) $200 1.00m Adult Jumper II.1"",""data_time"":""2:30 pm"",""data_entries"":""16""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,1,update_schedule.php,1.00m Adult Jumper II.1,false,59978,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26809,26809,2026-07-03T20:06:13.000Z,740) $200 1.00m Adult Jumper II.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",740,2:30 pm,$200,true,
recSxBVw2Q1n4zPlN,4,"{""event_id"":""59938"",""data_class"":""26923"",""data_name"":""527) USEF Talent Search 3'9"",""data_time"":""9:30 am"",""data_entries"":""4""}",14909,648,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4202,2026-07-03,1,update_schedule.php,USEF Talent Search 3'9,false,59938,Jumper Annex - Gary Gregory,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26923,26923,2026-07-03T14:48:17.000Z,527) USEF Talent Search 3'9,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",527,9:30 am,,true,2026-07-03
recTXcWWsqLMtwotI,0,"{""event_id"":""65124"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65124,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65124,0,2026-07-03T04:00:11.000Z,Ring Maintenance,2026-07-03,,,,,,
recTv4iQsOeXTW3qR,6,"{""event_id"":""59809"",""data_class"":""26912"",""data_name"":""518) Low Adult Equitation 2'6"",""data_time"":""1:00 pm"",""data_entries"":""6""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Low Adult Equitation 2'6,false,59809,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26912,26912,2026-07-03T18:36:15.000Z,518) Low Adult Equitation 2'6,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",518,1:00 pm,,true,
recU8BYuJnG8ZVulB,2,"{""event_id"":""59976"",""data_class"":""26820"",""data_name"":""697) $100 Thoroughbred Jumper 1.0m II.2b"",""data_time"":""1:15 pm"",""data_entries"":""2""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,1,update_schedule.php,Thoroughbred Jumper 1.0m II.2b,false,59976,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26820,26820,2026-07-03T18:18:12.000Z,697) $100 Thoroughbred Jumper 1.0m II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",697,1:15 pm,$100,true,
recUB1A7wU22KiQK4,0,"{""event_id"":""65118"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65118,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3592|65118,0,2026-07-03T04:00:07.000Z,Ring Maintenance,2026-07-03,,,,,,
recV3lj5vzWpDLjXn,0,"{""event_id"":""65132"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65132,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3610|65132,0,2026-07-03T04:00:13.000Z,Ring Maintenance,2026-07-03,,,,,,
recV8vUJPR66xFZ4m,11,"{""event_id"":""59895"",""data_class"":""26788"",""data_name"":""781) $2500 1.40m Junior/AmateurJumper II.1"",""data_time"":""1:15 pm"",""data_entries"":""11""}",14909,640,3580,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3580,2026-07-03,1,update_schedule.php,1.40m Junior/AmateurJumper II.1,false,59895,WEC Grand Arena - Nate Poliquin,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26788,26788,2026-07-03T18:00:09.000Z,781) $2500 1.40m Junior/AmateurJumper II.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",781,1:15 pm,$2500,true,
recVO9dsmHIh0McJU,28,"{""event_id"":""59923"",""data_class"":""30647"",""data_name"":""768) $1500 1.20m Amateur/Junior Jumper II.1"",""data_time"":""11:45 am"",""data_entries"":""28""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,1,update_schedule.php,1.20m Amateur/Junior Jumper II.1,false,59923,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|30647,30647,2026-07-03T17:54:10.000Z,768) $1500 1.20m Amateur/Junior Jumper II.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",768,11:45 am,$1500,true,
recVWeA0ByIkbuCD8,0,"{""event_id"":""65134"",""data_class"":""0"",""data_name"":""Touch Up Drag"",""data_time"":"""",""data_entries"":""0""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,5,update_schedule.php,Touch Up Drag,false,65134,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|4320|65134,0,2026-07-03T04:00:17.000Z,Touch Up Drag,2026-07-03,,,,,,
