record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec4dXlqCDnn7yZkr,14909,1459,1459,Voyageur,,Marie Lawlor,Marie,Wendy J. Hechler,Wendy J. Hechler,1
rec4g5rjcJW2YzDAg,14909,1106,1106,Naomi Hpf,,Hector Florentino,Hector,Benjamin J. Meredith,Benjamin J. Meredith,1
rec4iZ2svnApgdukR,14909,2621,2621,Nayla Balou,,Mary Jo Engstrom,Mary,Debra L. Ward,Debra L. Ward,1
rec4isV75lb5YAcOe,14909,1801,1801,Marseille,,,,,,1
rec4jeW2DgZUT7qPj,14909,1444,1444,Orette De Kalvarie,,,,,,1
rec4nko8mSm636TXr,14909,2807,2807,Illusion Cl,,,,,,1
rec4pOaYgAZalZMzo,14909,1341,1341,Modena Lc,,Juan J. Bancalari,Juan,Juan J. Bancalari,Juan J. Bancalari,1
rec4qUOGVJAGUZqnw,14909,143,143,Pmf Inventiv,,Angela Swanson,Angela,Angela Swanson,Angela Swanson,1
rec4sYbf6VrE4Gdck,14909,2886,2886,Venezia D'austral Z,,Ryan Michael Genn,Ryan,Ryan Michael Genn,Ryan Michael Genn,1
rec4tA4Qc4ShAwEvz,14909,3893,3893,Bubble Guppie Mxl Z,Bubble Guppie Mxl Z,,,,,1
rec4xJM8MrD8yzusL,14909,1488,1488,Crown,,Sofia Fayad,Sofia,Bibby F. Hill,Bibby F. Hill,1
rec50A1e6NvveXW9q,14909,2847,2847,Jurrney,,Wendy B. Rice,Wendy,Lauren Schweppe,Lauren Schweppe,1
rec50DCvX5MF21Jf5,14909,1241,1241,Balou Blue Z,,Brittni A. Raflowitz,Brittni,Brittni A. Raflowitz,Brittni A. Raflowitz,1
rec514OUjwldYovtn,14909,1768,1768,Mistigrise Du Seigneur,,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec53XSizG64Ut8fX,14909,1009,1009,Only Always,,Kimberly S. Maloomian,Kimberly,Kimberly S. Maloomian,Kimberly S. Maloomian,1
rec54726T3NJ6SoIz,14909,1785,1785,Vdl Adancha Z,,Stella Stinnett,Stella,Thea N. Stinnett,Thea N. Stinnett,1
rec54UCrRRaZybrzs,14909,1080,1080,Khinula Wb,,Laura Linback,Laura,Troy Linback,Troy Linback,1
rec55QuaBFAQFcsdh,14909,1575,1575,Bellefour's Steel Fox,,Marlow Rickun,Marlow,Kelsey Duffy,Kelsey Duffy,1
rec5BCZ11djG4ijhg,14909,2796,2796,Santa Rosa Fiona,,Priscilla Broger,Priscilla,Priscilla Broger,Priscilla Broger,1
rec5DPfOVGzqUDCig,14909,3006,3006,Surely,,Audrey Turner,Audrey,Laura Gaither,Laura Gaither,1
rec5HRwfgu8Db9W27,14909,1108,1108,Cali Blue Ps,,Soleil Katsur,Soleil,Jessica Cross,Jessica Cross,1
rec5IsTBx2Tx83thw,14909,3147,3147,Ipanema,Ipanema,,,,,1
rec5OBdFACbnwaG76,14909,2966,2966,Beast Mode,,Addison Benio,Addison,Addison Benio,Addison Benio,1
rec5SupXeyjWTgAbz,14909,2732,2732,Leroy Brown,,Amanda Majewski,Amanda,Terrie E. Shibley,Terrie E. Shibley,1
