class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
621) .85m Jumper Junior/Amateur II.2d,621,.85m Jumper Junior/Amateur II.2d,30,29156,10423,false,false
622) .85m Jumper Junior/Amateur II.2d,622,.85m Jumper Junior/Amateur II.2d,31,29157,10423,false,false
623) .85m Jumper Junior/Amateur II.2d,623,.85m Jumper Junior/Amateur II.2d,30,29158,10423,false,false
624) .95m Jumper II.1,624,.95m Jumper II.1,23,29394,10399,false,false
627) 1.00m Jumper II.1,627,1.00m Jumper II.1,43,29159,10414,false,false
628) 1.00m Jumper II.2d,628,1.00m Jumper II.2d,33,29160,10414,false,false
630) 1.10m Jumper II.1,630,1.10m Jumper II.1,24,29161,10415,false,false
631) 1.10m Jumper II.2d,631,1.10m Jumper II.2d,45,29162,10415,false,false
632) 1.10m Jumper II.2b,632,1.10m Jumper II.2b,23,29163,10415,false,false
633) 1.15m Jumper II.1,633,1.15m Jumper II.1,44,29164,10394,false,false
634) 1.15m Jumper II.2d,634,1.15m Jumper II.2d,27,29165,10394,false,false
635) 1.15m Jumper II.2b,635,1.15m Jumper II.2b,1,29402,10394,false,false
636) $500 1.20m Jumper II.1,636,$500 1.20m Jumper II.1,57,29128,10493,false,true
637) $500 1.20m Jumper II.2d,637,$500 1.20m Jumper II.2d,40,29129,10493,false,true
638) $500 1.20m Jumper II.2b,638,$500 1.20m Jumper II.2b,27,29130,10493,false,true
642) $1000 1.30m Jumper II.1,642,$1000 1.30m Jumper II.1,17,29131,10488,false,true
643) $1000 1.30m Jumper II.2d,643,$1000 1.30m Jumper II.2d,17,29132,10488,false,true
644) $1000 1.30m Jumper II.2b,644,$1000 1.30m Jumper II.2b,37,29133,10488,false,true
645) $1000 1.35m Jumper II.1,645,$1000 1.35m Jumper II.1,68,29134,10490,false,true
646) $1000 1.35m Jumper II.2d,646,$1000 1.35m Jumper II.2d,32,29135,10490,false,true
647) $1000 1.35m Jumper II.2b,647,$1000 1.35m Jumper II.2b,18,29136,10490,false,true
648) $1500 1.40m Jumper II.1,648,$1500 1.40m Jumper II.1,9,29137,10491,false,true
649) $1500 1.40m Jumper II.2d,649,$1500 1.40m Jumper II.2d,11,29138,10491,false,true
680) .90m Young Jumpers II,680,.90m Young Jumpers II,12,29433,0,false,false
681) .90m Young Jumpers II,681,.90m Young Jumpers II,4,29449,0,false,false
683) 1.0m Young Jumpers II,683,1.0m Young Jumpers II,7,29451,0,false,false
684) 1.0m Young Jumpers II,684,1.0m Young Jumpers II,12,29452,0,false,false
685) 1.0m Young Jumpers II,685,1.0m Young Jumpers II,7,29453,0,false,false
686) 1.10m Young Jumper II,686,1.10m Young Jumper II,21,29166,0,false,false
687) 1.10m Young Jumper II,687,1.10m Young Jumper II,17,29167,0,false,false
688) 1.10m Young Jumper II,688,1.10m Young Jumper II,12,29168,0,false,false
689) $250 1.20m Young Jumper II.1,689,$250 1.20m Young Jumper II.1,17,29169,10480,false,true
690) $250 1.20m Young Jumper II.2d,690,$250 1.20m Young Jumper II.2d,20,29170,10480,false,true
691) $250 1.20m Young Jumper II.2b,691,$250 1.20m Young Jumper II.2b,24,29171,10480,false,true
692) $250 1.30m Young Jumper II.1,692,$250 1.30m Young Jumper II.1,28,29172,10481,false,true
693) $250 1.30m Young Jumper II.2d,693,$250 1.30m Young Jumper II.2d,25,29173,10481,false,true
694) $250 1.30m Young Jumper II.2b,694,$250 1.30m Young Jumper II.2b,24,29174,10481,false,true
695) $100 1.0m Thoroughbred Jumper II.1,695,$100 1.0m Thoroughbred Jumper II.1,2,29125,10435,false,true
696) $100 1.0m Thoroughbred Jumper II.2d,696,$100 1.0m Thoroughbred Jumper II.2d,2,29126,10435,false,true
697) $100 1.0m Thoroughbred Jumper II.2b,697,$100 1.0m Thoroughbred Jumper II.2b,1,29127,10435,false,true
731) $150 .90m Novice Junior Jumper II.1,731,$150 .90m Novice Junior Jumper II.1,20,29119,10483,false,true
732) $150 .90m Novice Junior Jumper II.2d,732,$150 .90m Novice Junior Jumper II.2d,19,29120,10483,false,true
734) $150 .90m Novice Amateur Jumper II.1,734,$150 .90m Novice Amateur Jumper II.1,14,29122,10410,false,true
735) $150 .90m Novice Amateur Jumper II.2d,735,$150 .90m Novice Amateur Jumper II.2d,9,29123,10410,false,true
749) $500 1.10m Junior Jumper II.1,749,$500 1.10m Junior Jumper II.1,20,29107,10475,false,true
750) $500 1.10m Junior Jumper II.2d,750,$500 1.10m Junior Jumper II.2d,19,29108,10475,false,true
755) $500 1.10m Amateur Jumper II.1,755,$500 1.10m Amateur Jumper II.1,25,29110,10476,false,true
756) $500 1.10m Amateur Jumper II.2d,756,$500 1.10m Amateur Jumper II.2d,33,29111,10476,false,true
757) $600 1.15m Junior/Amateur Jumper II.1,757,$600 1.15m Junior/Amateur Jumper II.1,25,29104,10436,false,true
758) $600 1.15m Junior/Amateur Jumper II.2d,758,$600 1.15m Junior/Amateur Jumper II.2d,25,29105,10436,false,true
768) $1500 1.20m Junior/Amateur Jumper II.1,768,$1500 1.20m Junior/Amateur Jumper II.1,26,29477,10539,false,true
769) $1500 1.20m Junior/Amateur Jumper II.2d,769,$1500 1.20m Junior/Amateur Jumper II.2d,25,29478,10539,false,true
775) $2000 1.30m JR/AM Jumper II.1,775,$2000 1.30m JR/AM Jumper II.1,28,33465,11986,false,true
776) $2000 1.30m JR/AM Jumper II.2d,776,$2000 1.30m JR/AM Jumper II.2d,21,33466,11986,false,true
781) $2500 1.40m Jr/Am Jumper II.1,781,$2500 1.40m Jr/Am Jumper II.1,11,29095,10458,false,true
782) $2500 1.40m Jr/Am Jumper II.2d,782,$2500 1.40m Jr/Am Jumper II.2d,11,29096,10458,false,true
"803) $10,000 Buckeye Nutrition Futures Prix 1.40m II.2b",803,"$10,000 Buckeye Nutrition Futures Prix 1.40m II.2b",23,29180,0,false,true
"804) $15,000 C. Jarvis Insurance Welcome Prix 1.40m II.2b",804,"$15,000 C. Jarvis Insurance Welcome Prix 1.40m II.2b",33,29455,0,false,true
"805) $50,000 First Equestrian Grand Prix 1.45m II.2a Am Std",805,"$50,000 First Equestrian Grand Prix 1.45m II.2a Am Std",23,29413,0,false,true
809) $500 .95m Novice Junior Classic II.2b,809,$500 .95m Novice Junior Classic II.2b,24,29121,10483,false,true
810) $500 .95m Novice Amateur Classic II.2b,810,$500 .95m Novice Amateur Classic II.2b,11,29124,10410,false,true
813) $2500 1.10m NAL/WIHS Junior Classic II.2b,813,$2500 1.10m NAL/WIHS Junior Classic II.2b,18,29109,10475,false,true
815) $2500 1.10m NAL/WIHS Amateur Classic II.2b,815,$2500 1.10m NAL/WIHS Amateur Classic II.2b,34,29112,10476,false,true
816) $3000 1.15m Junior/Amateur Classic II.2b,816,$3000 1.15m Junior/Amateur Classic II.2b,26,29106,10436,false,true
817) $500 .65m Long Creek Farm Junior/Amateur Classic II.2b,817,$500 .65m Long Creek Farm Junior/Amateur Classic II.2b,15,29409,0,false,true
818) $500 .75m Junior/Amateur Classic II.2b,818,$500 .75m Junior/Amateur Classic II.2b,24,29410,0,false,true
820) $500 .85m Junior/Amateur Classic II.2b,820,$500 .85m Junior/Amateur Classic II.2b,27,29412,0,false,true
851) $5000 NAL 1.25m FreeRide Equestrian Jr/Am Classic II.2b,851,$5000 NAL 1.25m FreeRide Equestrian Jr/Am Classic II.2b,34,29479,10539,false,true
853) $5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b,853,$5000 NAL 1.35m Prestige Italia Jr/Am Classic II.2b,26,29100,10391,false,true
"855) $10,000 1.45m Junior/Amateur Classic II.2b",855,"$10,000 1.45m Junior/Amateur Classic II.2b",8,29097,10458,false,true
856) $7500 1.40m ARIAT Jumper Classic II.2b,856,$7500 1.40m ARIAT Jumper Classic II.2b,13,29139,10491,false,true
900) Short/Long Stirrup Hunter 2',900,Short/Long Stirrup Hunter 2',16,29470,10538,false,false
901) Short/Long Stirrup Hunter (1st rnd Classic)) 2',901,Short/Long Stirrup Hunter (1st rnd Classic)) 2',15,29471,10538,false,false
902) Short/Long Stirrup Hunter 2',902,Short/Long Stirrup Hunter 2',16,29472,10538,false,false
903) Short/Long Stirrup Hunter 2',903,Short/Long Stirrup Hunter 2',15,29473,10538,false,false
904) Short/Long Stirrup Hunter U/S,904,Short/Long Stirrup Hunter U/S,16,29474,10538,false,false
910) Short/Long Stirrup Equitation 2',910,Short/Long Stirrup Equitation 2',9,29496,10542,false,false
911) Short/Long Stirrup Equitation 2',911,Short/Long Stirrup Equitation 2',9,29497,10542,false,false
912) Short/Long Stirrup Equitation Flat,912,Short/Long Stirrup Equitation Flat,9,29498,10542,false,false
"916) Crossrails 18""",916,"Crossrails 18""",14,33455,11984,false,false
"917) Crossrails 18""",917,"Crossrails 18""",14,33456,11984,false,false
"918) Crossrails 18""",918,"Crossrails 18""",14,33457,11984,false,false
"919) Crossrails 18""",919,"Crossrails 18""",14,33458,11984,false,false
920) Crossrails Flat,920,Crossrails Flat,14,33459,11984,false,false
926) $500 Short Stirrup/Long Stirrup Classic 2',926,$500 Short Stirrup/Long Stirrup Classic 2',14,29201,0,true,true
927) Walk Trot Equitation Ground Rails,927,Walk Trot Equitation Ground Rails,9,29248,10470,false,false
928) Walk Trot Equitation Ground Rails,928,Walk Trot Equitation Ground Rails,9,29249,10470,false,false
929) Walk Trot Equitation Ground Rails,929,Walk Trot Equitation Ground Rails,9,29250,10470,false,false
930) Walk Trot Equitation Ground Rails,930,Walk Trot Equitation Ground Rails,9,29251,10470,false,false
931) Walk Trot Equitation Ground Rails Flat,931,Walk Trot Equitation Ground Rails Flat,8,29252,10470,false,false
2001) Leadline,2001,Leadline,6,29247,0,false,false
"2201) $4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",2201,"$4,000 4CYTE 1.40m CSI2* Two Phase 222.1.4.3",26,29237,0,false,true
"2202) $32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",2202,"$32,000 4CYTE 1.45m CSI2* Speed 220.2.1.1",23,28941,0,false,true
"2203) $32,000 4 CYTE Grand Prix Qualifier CSI2* 1.45m 220.2.1.2",2203,"$32,000 4 CYTE Grand Prix Qualifier CSI2* 1.45m 220.2.1.2",44,28943,0,false,true
"2204) $85,000 4CYTE Grand Prix FEI CSI2* 1.45m 220.2.1.2",2204,"$85,000 4CYTE Grand Prix FEI CSI2* 1.45m 220.2.1.2",40,28940,0,false,true
629a) 1.00m Jumper II.2b,,629a) 1.00m Jumper II.2b,10,29106,10436,false,false
629b) 1.00m Jumper II.2b,,629b) 1.00m Jumper II.2b,9,29409,0,false,false
737a) $200 1.00m Junior Jumper II.1,,737a) $200 1.00m Junior Jumper II.1,12,29410,0,false,true
737b) $200 1.00m Junior Jumper II.1,,737b) $200 1.00m Junior Jumper II.1,20,29412,0,false,false
738a) $200 1.00m Junior Jumper II.2d,,738a) $200 1.00m Junior Jumper II.2d,16,29479,10539,false,true
738b) $200 1.00m Junior Jumper II.2d,,738b) $200 1.00m Junior Jumper II.2d,22,29100,10391,false,true
740a) $200 1.00m Amateur Jumper II.1,,740a) $200 1.00m Amateur Jumper II.1,7,29097,10458,false,true
740b) $200 1.00m Amateur Jumper II.1,,740b) $200 1.00m Amateur Jumper II.1,13,29139,10491,false,false
741a) $200 1.00m Amateur Jumper II.2d,,741a) $200 1.00m Amateur Jumper II.2d,11,29470,10538,false,true
741b) $200 1.00m Amateur Jumper II.2d,,741b) $200 1.00m Amateur Jumper II.2d,15,29471,10538,false,true
811a) $750 1.05m Junior Classic II.2b,,811a) $750 1.05m Junior Classic II.2b,10,29472,10538,false,true
811b) $750 1.05m Junior Classic II.2b,,811b) $750 1.05m Junior Classic II.2b,20,29473,10538,false,true
812a) $750 1.05m Amateur Classic II.2b,,812a) $750 1.05m Amateur Classic II.2b,8,29474,10538,false,true
812b) $750 1.05m Amateur Classic II.2b,,812b) $750 1.05m Amateur Classic II.2b,9,29496,10542,false,true
