class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
"93) $400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy",93,"$400 Amateur Owner Hunter 3'3"" 18-35 Years-Handy",4,29343,10492,true,true
"94) $200 Amateur Owner Hunter 3'3"" 18-35 Years U/S",94,"$200 Amateur Owner Hunter 3'3"" 18-35 Years U/S",4,29344,10492,true,true
"95) $400 Amateur Owner Hunter 3'3"" 36+",95,"$400 Amateur Owner Hunter 3'3"" 36+",4,29345,10494,true,true
"96) $400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)",96,"$400 Amateur Owner Hunter 3'3"" 36+ (1st rnd Classic)",4,29346,10494,true,true
"97) $400 Amateur Owner Hunter 3'3"" 36+",97,"$400 Amateur Owner Hunter 3'3"" 36+",4,29347,10494,true,true
"98) $400 Amateur Owner Hunter 3'3"" 36+-Handy",98,"$400 Amateur Owner Hunter 3'3"" 36+-Handy",4,29348,10494,true,true
"99) $200 Amateur Owner Hunter 3'3"" 36+ U/S",99,"$200 Amateur Owner Hunter 3'3"" 36+ U/S",4,29349,10494,true,true
"100) $600 Junior Hunter 3'6""",100,"$600 Junior Hunter 3'6""",4,33521,12047,true,true
"102) $600 Junior Hunter 3'6""",102,"$600 Junior Hunter 3'6""",4,33523,12047,true,true
"103) $600 Junior Hunter 3'6"" Handy",103,"$600 Junior Hunter 3'6"" Handy",4,33524,12047,true,true
"104) $350 Junior Hunter 3'6"" U/S",104,"$350 Junior Hunter 3'6"" U/S",4,33525,12047,true,true
"120) $400 Junior Hunter 3'3""",120,"$400 Junior Hunter 3'3""",7,33526,12048,true,true
"121) $400 Junior Hunter 3'3"" (1st rnd Classic)",121,"$400 Junior Hunter 3'3"" (1st rnd Classic)",7,33527,12048,true,true
"122) $400 Junior Hunter 3'3""",122,"$400 Junior Hunter 3'3""",6,33528,12048,true,true
"123) $400 Junior Hunter 3'3"" - Handy",123,"$400 Junior Hunter 3'3"" - Handy",6,33529,12048,true,true
"124) $200 Junior Hunter 3'3"" - U/S",124,"$200 Junior Hunter 3'3"" - U/S",7,33530,12048,true,true
"150) $250 Green Pony Conf Hunter- Med/Sm 2'6""/2'3""",150,"$250 Green Pony Conf Hunter- Med/Sm 2'6""/2'3""",5,33536,12050,false,true
"151) $250 Green Pony Hunter Med/Sm 2'6""/2'3"" (1st rnd Classic)",151,"$250 Green Pony Hunter Med/Sm 2'6""/2'3"" (1st rnd Classic)",5,33537,12050,false,true
"152) $250 Green Pony Hunter Med/Sm 2'6""/2'3""",152,"$250 Green Pony Hunter Med/Sm 2'6""/2'3""",4,33538,12050,false,true
"153) $250 Green Pony Hunter Med/Sm 2'6""/2'3""",153,"$250 Green Pony Hunter Med/Sm 2'6""/2'3""",4,33539,12050,false,true
"154) $100 Green Pony Hunter Med/Sm 2'6""/2'3"" U/S",154,"$100 Green Pony Hunter Med/Sm 2'6""/2'3"" U/S",5,33540,12050,false,true
"162) $250 Green Pony Conf Hunter- Lg 2'9""",162,"$250 Green Pony Conf Hunter- Lg 2'9""",4,28954,10512,false,true
"163) $250 Green Pony Hunter Lg 2'9"" (1st rnd Classic)",163,"$250 Green Pony Hunter Lg 2'9"" (1st rnd Classic)",4,28955,10512,false,true
"164) $250 Green Pony Hunter Lg 2'9""",164,"$250 Green Pony Hunter Lg 2'9""",4,28956,10512,false,true
"165) $250 Green Pony Hunter Lg 2'9""",165,"$250 Green Pony Hunter Lg 2'9""",4,28957,10512,false,true
"166) $100 Green Pony Hunter Lg 2'9"" U/S",166,"$100 Green Pony Hunter Lg 2'9"" U/S",4,28958,10512,false,true
"170) $375 Pony Conf Hunter- Sm/Med 2'3""/2'6""",170,"$375 Pony Conf Hunter- Sm/Med 2'3""/2'6""",6,33548,12052,false,true
"171) $375 Pony Hunter Sm/Med 2'3""/2'6"" (1st rnd Classic)",171,"$375 Pony Hunter Sm/Med 2'3""/2'6"" (1st rnd Classic)",6,33549,12052,false,true
"172) $375 Pony Hunter Sm/Med 2'3""/2'6""",172,"$375 Pony Hunter Sm/Med 2'3""/2'6""",5,33550,12052,false,true
"173) $375 Pony Hunter Sm/Med 2'3""/2'6"" Handy",173,"$375 Pony Hunter Sm/Med 2'3""/2'6"" Handy",3,33551,12052,false,true
"174) $150 Pony Hunter Sm/Med 2'3""/2'6"" U/S",174,"$150 Pony Hunter Sm/Med 2'3""/2'6"" U/S",6,33552,12052,false,true
"182) $375 Pony Conf Hunter- Lg 2'9""",182,"$375 Pony Conf Hunter- Lg 2'9""",5,28970,10509,false,true
"183) $375 Pony Hunter Lg 2'9"" (1st rnd Classic)",183,"$375 Pony Hunter Lg 2'9"" (1st rnd Classic)",5,28971,10509,false,true
"184) $375 Pony Hunter Lg 2'9""",184,"$375 Pony Hunter Lg 2'9""",5,28972,10509,false,true
"185) $375 Pony Hunter Lg 2'9""-Handy",185,"$375 Pony Hunter Lg 2'9""-Handy",5,28973,10509,false,true
"186) $150 Pony Hunter Lg 2'9"" U/S",186,"$150 Pony Hunter Lg 2'9"" U/S",5,28974,10509,false,true
200) $300 Child Hunter 14/U 3',200,$300 Child Hunter 14/U 3',9,28984,10515,true,true
201) $300 Child Hunter 14/U (1st rnd Classic) 3',201,$300 Child Hunter 14/U (1st rnd Classic) 3',9,28985,10515,true,true
202) $300 Child Hunter 14/U 3',202,$300 Child Hunter 14/U 3',8,28986,10515,false,true
203) $300 Child Hunter 14/U 3',203,$300 Child Hunter 14/U 3',8,28987,10515,false,true
204) $200 Child Hunter 14/U U/S 3',204,$200 Child Hunter 14/U U/S 3',9,28988,10515,true,true
205) $300 Child Hunter 15-17 3',205,$300 Child Hunter 15-17 3',4,28989,10516,true,true
206) $300 Child Hunter 15-17 (1st rnd Classic) 3',206,$300 Child Hunter 15-17 (1st rnd Classic) 3',4,28990,10516,true,true
207) $300 Child Hunter 15-17 3',207,$300 Child Hunter 15-17 3',4,28991,10516,true,true
