class_number,class_name,entry_count,class_no,sect_no
524,"Children's Pony Equitation 2'/2'6""",3,28697,10286
525,"Children's Pony Equitation 2'/2'6""",3,28698,10286
526,Children's Pony Equitation Flat,3,28699,10286
527,"Platinum Performance USEF Talent Search 3'9""",1,28702,0
528,"USEF Hunter Seat Medal 3'6""",4,28700,0
529,"WIHS Equitation Hunter Phase 3'6""",1,28710,0
530,"WIHS Equitation Jumper Phase 3'6""",1,28711,0
531,"WIHS Equitation Overall 3'6""",0,28712,0
532,"ASPCA Maclay 3'6""",4,28713,0
533,"NHS Medal 3'3""",6,28714,0
534,Ariat Adult Medal 3',1,28703,0
535,THIS Children's Medal 3',6,28657,0
537,"USHJA 3'3"" Jumping Seat Medal",0,33481,0
539,"USHJA Hunter Seat Medal 3'3""",0,28706,0
545,"USEF Pony Medal (Open Card) 2'3""/2'6""/2'9""",0,28701,0
546,"WIHS Pony Equitation (Open Card) 2'3""/2'6""/2'9""",1,28707,0
547,THIS Adult Medal 3',0,28715,0
548,"World Equestrian Center Premier Cup 3'6""",4,28716,0
549,"NCEA Medal 3'3""",1,28451,0
600,.65m Jumper Open IV.1,10,28631,10238
601,.65m Jumper Open IV.1,8,28632,10238
602,.65m Jumper Open IV.1,8,28633,10238
603,.65m Jumper Jr/Am Long Creek Farms IV.1,4,28634,10239
604,.65m Jumper Jr/Am Long Creek Farms IV.1,6,28635,10239
605,.65m Jumper Jr/Am Long Creek Farms IV.1,7,28636,10239
606,.75m Jumper Open IV.1,9,28739,10217
607,.75m Jumper Open IV.1,9,28740,10217
608,.75m Jumper Open IV.1,9,28741,10217
609,.75m Jumper Jr/Am IV.1,7,28742,10218
610,.75m Jumper Jr/Am IV.1,8,28743,10218
611,.75m Jumper Jr/Am IV.1,8,28744,10218
618,.85m Jumper Open II.2d,9,28643,10242
619,.85m Jumper Open II.2d,14,28644,10242
620,.85m Jumper Open II.2b,9,28646,10242
621,.85m Jumper Jr/Am II.2d,6,28647,10243
622,.85m Jumper Jr/Am II.2d,9,28648,10243
623,.85m Jumper Jr/Am II.2b,12,28649,10243
624,.95m Jumper- II.1,4,28745,0
625,.95m Jumper- II.2d,3,28746,0
627,1.00m Jumper II.1,13,28650,10234
628,1.00m Jumper II.2d,18,28651,10234
629,1.00m Jumper II.2b,5,28749,10234
630,1.10m Jumper II.1,15,28652,10235
631,1.10m Jumper II.2d,16,28653,10235
632,1.10m Jumper II.2b,7,28654,10235
633,1.15m Jumper II.1,12,28655,10214
634,1.15m Jumper II.2d,11,28656,10214
635,1.15m Jumper II.2b,4,28750,10214
636,1.20m Jumper II.1,64,28619,10321
637,1.20m Jumper II.2d,24,28620,10321
638,1.20m Jumper II.2b,11,28621,10321
639,1.25m Jumper II.1,17,28333,10312
640,1.25m Jumper II.2d,14,28334,10312
641,1.25m Jumper II.2b,8,28335,10312
642,1.30m Jumper II.1,33,28622,10315
643,1.30m Jumper II.2d,26,28623,10315
644,1.30m Jumper II.2b,17,28624,10315
645,1.35m Jumper II.1,15,28625,10317
646,1.35m Jumper II.2d,11,28626,10317
647,1.35m Jumper II.2b,10,28627,10317
648,1.40m Jumper II.1,0,28628,10318
649,1.40m Jumper II.1,8,28629,10318
654,.80m Jumper Open IV.1,4,28637,0
655,.85m Jumper Open II.1,5,33427,0
680,.90m Young Jumpers II,7,28825,0
681,.90m Young Jumpers II,7,28826,0
682,.90m Young Jumpers II,2,28827,0
683,1.0m Young Jumpers II,5,28828,0
684,1.0m Young Jumpers II,2,28829,0
