record_id,show_no,trainer,trainer_display,tag,active
recNOjlJkQLR1qWTQ,14907,Julia Worden,Julia Worden,,0
recNSLAabY22Iw1Z1,14907,John Paulsen,John Paulsen,,0
recNlaJ4fNzGpH0Rf,14907,Dana Kurrle,Dana Kurrle,,0
recNpo5pbhuzTKAIi,14907,Jessica Collins,Jessica Collins,,0
recNr3QsitBPL9Xil,14907,Scott Diffey,Scott Diffey,,0
recNsOB5RbtRbnQ37,14907,Michael J. Mccormick,Michael J. Mccormick,,0
recNt8RCU3OfCIZg6,14907,Samantha Mccleerey,Samantha Mccleerey,,0
recOPpcKG9qWpofRT,14907,Alberto Michan,Alberto Michan,,0
recOdyCszUe4VTxPo,14907,Darragh Kerins,Darragh Kerins,,0
recPMskDVL2pcUFPb,14907,Katie Moniz Floyd,Katie Moniz Floyd,,0
recPdCHJm1UqhZjLu,14907,Brooklyn Castellano,Brooklyn Castellano,,0
recPjoErB5zrZjQMv,14907,Morgan Mulcahy,Morgan Mulcahy,,0
recPyfVVGkVn9fvlf,14907,Lizabeth Perez-Pascual,Lizabeth Perez-Pascual,,0
recQKeo6875JCjkvf,14907,Bruno Diniz Das Neves,Bruno Diniz Das Neves,,0
recQS2r3hlg93GR1c,14907,Alexa Marino Bacardi,Alexa Marino Bacardi,,0
recQUXHjJZbV57FsH,14907,Timothy Maddrix,Timothy Maddrix,,0
recQXTpW29gQ8CQhu,14907,Madison Daughdrill,Madison Daughdrill,,0
recQduwaFmkfTL3Xq,14907,Carson L. Ruff,Carson L. Ruff,,0
recQexushi8p8Xgll,14907,Mari Gromkowski,Mari Gromkowski,,0
recQp3uwHQgr5c03c,14907,Maddison Stephen,Maddison Stephen,,0
recReZ0D2zANcGXoH,14907,James Gentleman,James Gentleman,,0
recRlcCb6UzGjsfM8,14907,Addison Reed,Addison Reed,,0
recRnYU8EgCMCN4Tl,14907,Matt Martin,Matt Martin,,0
recS6sxPEULRVow6v,14907,Lincoln Russell,Lincoln Russell,,0
recS9EfEO0iZet31e,14907,Conan Conway,Conan Conway,,0
recSA6JLxXIoeqSGK,14907,Fernando Cardenas,Fernando Cardenas,,0
recSN0eF04okgAD8J,14907,Lisa Hasenbeck,Lisa Hasenbeck,,0
recSN4WGiXjlJgPc6,14907,Lesley Grant-Law,Lesley Grant-Law,,0
recSXI5qNI2oXZ7rL,14907,Mike Holtkamp,Mike Holtkamp,,0
recSXiCPwDmQ76cuQ,14907,Jake Evans,Jake Evans,,0
recScvZPMMmuVjpAg,14907,Maleah Lang Mcmahon,Maleah Lang Mcmahon,,0
recT8YlCbrNCIUBkI,14907,Chloe Mouton,Chloe Mouton,,0
recTFNzdSZ2WKI4Fx,14907,Madison Rose,Madison Rose,,0
recU1AQcmSYuCkBtn,14907,Patrick R. Wilcher,Patrick R. Wilcher,,0
recU3IaijfKlg4V10,14907,Brittni A. Raflowitz,Brittni A. Raflowitz,,0
recU7zogAuLVNKIfQ,14907,Justine L. Dutton Barnard,Justine L. Dutton Barnard,,0
recUSP9h7nazUAhZI,14907,Dominique H. Damico,Dominique H. Damico,,0
recUjyRd7k0lTmyxS,14907,Aurora R. Rangel De Alba,Aurora R. Rangel De Alba,,0
recUkF0qsVXW5diOg,14907,Kendall Stephens,Kendall Stephens,,0
recUlyG8wMwlKopQw,14907,Shannon Y. Clifford,Shannon Y. Clifford,,0
recUpaBE2IKFd0lXw,14907,Jessica Cross,Jessica Cross,,0
recUr6Fi772oNLJ5v,14907,Marissa Creviston,Marissa Creviston,,0
recUuNz0eo9E9uBRD,14907,Joachim Englert,Joachim Englert,,0
recUyPOPB2XxAGJpk,14907,Jenny Miller,Jenny Miller,,0
recV9UeEpcw6UDEM9,14907,David Cameron,David Cameron,,0
recVgcYuvsyU3zc15,14907,Lynn M. Reed,Lynn M. Reed,,0
recVpkQDmdDLWOnf7,14907,Elizabeth C. de Golian,Elizabeth C. de Golian,,0
recVsz59iVCmUI0Nu,14907,Kyle Dewar,Kyle Dewar,,0
recWQdJafSZQqtOiB,14907,Bobby Boulger,Bobby Boulger,,0
recWb8kIRsV2w5Zj9,14907,Lauren Schweppe,Lauren Schweppe,,0
recWddmd29X3mTMwN,14907,Maisie Wagner,Maisie Wagner,,0
recWm4nXbUtPYpLCL,14907,Juan E. Hidalgo,Juan E. Hidalgo,,0
recWoImYqrWG0E1xh,14907,Jared P. Petersen,Jared P. Petersen,,0
recWymhFUK9NTB49o,14907,Katey Grau,Katey Grau,,0
recXKfhF5qV7KjRHI,14907,George J. Bessette,George J. Bessette,,0
recXPKDGyJI2y5uSY,14907,Jacob Fletcher,Jacob Fletcher,,0
recXVR08ixMVy2UwY,14907,Emily Plante,Emily Plante,,0
recXocXm551bESpPa,14907,Dawn Hersey,Dawn Hersey,,0
recXxIrcwPWBKHaoC,14907,Clark Montgomery,Clark Montgomery,,0
recXyfjbTanYPcKpl,14907,Cristobal Castro,Cristobal Castro,,0
recY4IG5M0Ub1eRP6,14907,Meghan Green,Meghan Green,,0
recYF9eSOEpYZn4Ko,14907,Kacey Conway,Kacey Conway,,0
recYHLnLkBMV7NSqx,14907,Kaleigh Holroyd,Kaleigh Holroyd,,0
recYSQRJjZGVMtbrM,14907,Josh Dolan,Josh Dolan,,0
recYYSG3rW61gLanZ,14907,Heather Froehlich Cortell,Heather Froehlich Cortell,,0
recYw9kALEWzAkVln,14907,Elizabeth D. Blaisdell,Elizabeth D. Blaisdell,,0
